rank,org_name,city,phone,programs,counties_count,zips_count,population_reach,counties,zips
34,Guadalupe Economic Services Corporation,Lubbock,+18067444416,WAP,1,30,309904,Lubbock,79311 79329 79343 79350 79358 79363 79364 79366 79382 79401 79403 79404 79407 79408 79409 79410 79411 79412 79413 79414 79415 79416 79423 79424 79452 79453 79464 79490 79493 79499
35,"Lubbock, City of, Community Development Department",Lubbock,+18067752296,"CEAP, WAP",1,30,309904,Lubbock,79311 79329 79343 79350 79358 79363 79364 79366 79382 79401 79403 79404 79407 79408 79409 79410 79411 79412 79413 79414 79415 79416 79423 79424 79452 79453 79464 79490 79493 79499
36,Webb County Community Action Agency,Laredo,+19565234222,"CEAP, CSBG, WAP",1,11,268453,Webb,78019 78040 78041 78042 78043 78044 78045 78046 78344 78369 78371
37,Concho Valley Community Action Agency,San Angelo,+13256532411,"CEAP, CSBG, WAP",14,61,174876,Coke; Coleman; Concho; Crockett; Irion; Kimble; McCulloch; Menard; Reagan; Runnels; Schleicher; Sterling; Sutton; Tom Green,76821 76825 76828 76834 76836 76837 76841 76845 76848 76849 76852 76854 76858 76859 76861 76862 76865 76866 76871 76872 76873 76874 76875 76878 76882 76883 76884 76886 76887 76888 76901 76902 76903 76904 76905 76906 76908 76909 76930 76932 76933 76934 76935 76936 76937 76939 76940 76941 76943 76945 76950 76951 76955 76957 76958 79506 79519 79538 79566 79567 79739
38,Cornerstone Community Action Agency,Coleman,+13256254167,"CEAP, CSBG, WAP",7,51,119116,Brown; Callahan; Coleman; Comanche; Eastland; McCulloch; Runnels,76432 76435 76436 76437 76442 76443 76444 76445 76446 76448 76454 76455 76464 76468 76470 76471 76474 76801 76802 76803 76804 76821 76823 76825 76827 76828 76834 76836 76845 76852 76857 76858 76861 76865 76871 76872 76873 76875 76878 76882 76884 76887 76888 76890 76933 79504 79510 79519 79538 79566 79567
39,South Texas Development Council,Laredo,+19567223995,"CEAP, WAP",3,13,84541,Jim Hogg; Starr; Zapata,78067 78076 78360 78361 78536 78545 78547 78548 78564 78582 78584 78588 78591
40,Economic Action Committee of the Gulf Coast,Bay City,+19792456901,"CEAP, WAP",2,19,80918,Matagorda; Wharton,77404 77414 77419 77420 77428 77434 77435 77437 77448 77453 77454 77455 77457 77458 77465 77467 77468 77482 77488
41,"Aspermont Small Business Development Center, Inc.",Aspermont,+19409893538,"CEAP, CSBG, WAP",6,28,58752,Haskell; Jones; Kent; Knox; Stonewall; Throckmorton,76363 76371 76372 76388 76483 76491 79227 79501 79502 79503 79505 79518 79520 79521 79525 79528 79529 79533 79536 79539 79540 79544 79547 79548 79553 79560 79561 79601
42,Community Action Social Services & Education,Eagle Pass,+18307737274,"CEAP, WAP",1,4,57885,Maverick,78852 78853 78860 78877
43,Kleberg County Human Services,Kingsville,+13615958572,"CEAP, WAP",2,4,31324,Kenedy; Kleberg,78338 78363 78379 78385
44,Pecos County Community Action Agency,Fort Stockton,+14323367526,"CEAP, WAP",3,9,20241,Crane; Pecos; Terrell,78851 79730 79731 79735 79740 79743 79744 79781 79848
