WEEK 1,#,Organization,City,Address,Phone,Programs,Help offered,Counties,ZIPs,People reached,Counties served,ZIP codes served,Source,slug — do not edit,rent slug — do not edit,Status,Rent status,SERVICE AREA — whole county? which areas?,Funding lasts until,Reopens on,How to apply,Hours,Daily cap,Documents required,Most common reason turned away,Anything changing,Spoke with,Call outcome,Note,Called (date),VA
,49,Cherokee County Department of Social Services,Murphy,"4800 W US Highway 64, Murphy, NC 28906",+18288377455,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,4,"30,373",Cherokee,28901 28902 28905 28906,NCDHHS Local DSS Directory,cherokee-county-department-of-social-services-energy,cherokee-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,50,Chowan County Department of Social Services,Edenton,"100 W. Freemason Circle, Edenton, NC 27932",+12524827441,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,4,"13,891",Chowan,27919 27932 27946 27980,NCDHHS Local DSS Directory,chowan-county-department-of-social-services-energy,chowan-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,51,Clay County Department of Social Services,Hayesville,"119 Courthouse Drive, Hayesville, NC 28904",+18283896301,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,3,"12,042",Clay,28902 28904 28909,NCDHHS Local DSS Directory,clay-county-department-of-social-services-energy,clay-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,52,Cleveland County Department of Social Services,Shelby,"130 South Post Road, Shelby, NC 28150",+17044870661,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,12,"102,194",Cleveland,28017 28020 28021 28073 28086 28090 28114 28136 28150 28151 28152 28169,NCDHHS Local DSS Directory,cleveland-county-department-of-social-services-energy,cleveland-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,53,Columbus County Department of Social Services,Whiteville,"40 Government Complex Road, Whiteville, NC 28472",+19106422800,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,14,"50,054",Columbus,28423 28430 28431 28432 28433 28436 28438 28439 28442 28450 28455 28456 28463 28472,NCDHHS Local DSS Directory,columbus-county-department-of-social-services-energy,columbus-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,54,Craven County Department of Social Services,New Bern,"2818 Neuse Blvd., New Bern, NC 28561",+12526364900,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,13,"104,167",Craven,28519 28523 28526 28527 28530 28532 28560 28561 28562 28563 28564 28573 28586,NCDHHS Local DSS Directory,craven-county-department-of-social-services-energy,craven-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,55,Cumberland County Department of Social Services,Fayetteville,"1225 Ramsey St., Fayetteville, NC 28301",+19103231540,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,22,"338,430",Cumberland,28301 28302 28303 28304 28305 28306 28307 28308 28309 28311 28312 28314 28318 28331 28344 28348 28356 28371 28382 28390 28391 28395,NCDHHS Local DSS Directory,cumberland-county-department-of-social-services-energy,cumberland-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,56,Currituck County Department of Social Services,Currituck,"2793 Caratoke Hwy., Currituck, NC 27929",+12522323083,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,15,"32,278",Currituck,27916 27917 27923 27927 27929 27939 27941 27947 27950 27956 27958 27964 27965 27966 27973,NCDHHS Local DSS Directory,currituck-county-department-of-social-services-energy,currituck-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,57,Dare County Department of Social Services,Manteo,"109 Exeter St., Manteo, NC 27954",+12524755500,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,8,"38,183",Dare,27915 27948 27949 27953 27954 27959 27978 27981,NCDHHS Local DSS Directory,dare-county-department-of-social-services-energy,dare-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,58,Davidson County Department of Social Services,Lexington,"913 Greensboro St., Lexington, NC 27292",+13362422500,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,12,"177,809",Davidson,27012 27107 27127 27239 27262 27265 27292 27293 27295 27299 27351 27360,NCDHHS Local DSS Directory,davidson-county-department-of-social-services-energy,davidson-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,59,Davie County Department of Social Services,Mocksville,"154 Government Center Drive, Mocksville, NC 27028",+13367536250,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,3,"45,383",Davie,27006 27028 28634,NCDHHS Local DSS Directory,davie-county-department-of-social-services-energy,davie-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,60,Duplin County Department of Social Services,Kenansville,"423 N. Main St., Kenansville, NC 28349",+19102962200,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,14,"50,539",Duplin,28341 28349 28365 28398 28453 28458 28464 28466 28508 28518 28521 28525 28572 28578,NCDHHS Local DSS Directory,duplin-county-department-of-social-services-energy,duplin-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,61,Durham County Department of Social Services,Durham,"414 E. Main St., Durham, NC 27702-0810",+19195608000,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,16,"343,628",Durham,27503 27517 27560 27572 27701 27702 27703 27704 27705 27707 27709 27712 27713 27715 27717 27722,NCDHHS Local DSS Directory,durham-county-department-of-social-services-energy,durham-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,62,Edgecombe County Department of Social Services,Tarboro,"122 E. St. James St., Tarboro, NC 27886",+12526417611,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,11,"49,124",Edgecombe,27801 27802 27803 27809 27812 27829 27843 27852 27864 27886 27891,NCDHHS Local DSS Directory,edgecombe-county-department-of-social-services-energy,edgecombe-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,63,Forsyth County Department of Social Services,Winston-Salem,"741 North Highland Ave., Winston-Salem, NC 27101",+13367033800,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,28,"398,143",Forsyth,27009 27010 27012 27019 27023 27040 27045 27050 27051 27052 27101 27102 27103 27104 27105 27106 27107 27109 27113 27114 27115 27116 27117 27120 27127 27130 27284 27285,NCDHHS Local DSS Directory,forsyth-county-department-of-social-services-energy,forsyth-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,64,Franklin County Department of Social Services,Louisburg,"107 Industrial Drive, Louisburg, NC 27549",+19194965721,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,9,"79,771",Franklin,27508 27525 27544 27549 27589 27596 27597 27816 27882,NCDHHS Local DSS Directory,franklin-county-department-of-social-services-energy,franklin-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,65,Gaston County Department of Social Services,Gastonia,"330 Dr. Martin Luther King Jr. Way, Gastonia, NC 28052",+17048627500,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,19,"242,010",Gaston,28006 28012 28016 28021 28032 28033 28034 28052 28053 28054 28055 28056 28077 28086 28092 28098 28101 28120 28164,NCDHHS Local DSS Directory,gaston-county-department-of-social-services-energy,gaston-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,66,Gates County Department of Social Services,Gatesville,"122 Main St., Gatesville, NC 27938",+12523570075,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,7,"10,299",Gates,27926 27935 27937 27938 27946 27969 27979,NCDHHS Local DSS Directory,gates-county-department-of-social-services-energy,gates-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,67,Graham County Department of Social Services,Robbinsville,"191 P & J Road, Robbinsville, NC 28771",+18284797911,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,3,"8,179",Graham,28702 28733 28771,NCDHHS Local DSS Directory,graham-county-department-of-social-services-energy,graham-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,68,Granville County Department of Social Services,,"410 West Spring St., Oxford NC 27565",+19196931511,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,8,"61,544",Granville,27507 27509 27522 27525 27544 27565 27572 27581,NCDHHS Local DSS Directory,granville-county-department-of-social-services-energy,granville-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,69,Greene County Department of Social Services,Snow Hill,"227 Kingold Blvd. Suite A, Snow Hill, NC 28580",+12527475932,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,7,"20,671",Greene,27828 27883 27888 28513 28538 28551 28580,NCDHHS Local DSS Directory,greene-county-department-of-social-services-energy,greene-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,70,Guilford County Department of Social Services,Greensboro,"1203 Maple St., Greensboro, NC 27405",+13366413000,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,40,"558,816",Guilford,27214 27233 27235 27249 27260 27261 27262 27263 27264 27265 27282 27283 27284 27298 27301 27310 27313 27357 27358 27377 27401 27402 27403 27404 27405 27406 27407 27408 27409 27410 27415 27416 27417 27419 27420 27425 27429 27435 27438 27455,NCDHHS Local DSS Directory,guilford-county-department-of-social-services-energy,guilford-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,71,Halifax County Department of Social Services,Halifax,"4421 Hwy 301, Halifax, NC 27839",+12525362511,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,8,"46,992",Halifax,27823 27839 27843 27844 27850 27870 27874 27890,NCDHHS Local DSS Directory,halifax-county-department-of-social-services-energy,halifax-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,72,Harnett County Department of Social Services,Lillington,"311 Cornelius Harnett Blvd., Lillington, NC 27546",+19108937500,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,13,"146,096",Harnett,27332 27501 27505 27521 27526 27546 28323 28326 28334 28339 28356 28368 28390,NCDHHS Local DSS Directory,harnett-county-department-of-social-services-energy,harnett-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,73,Haywood County Department of Social Services,Clyde,"157 Paragon Parkway, Suite 300, Clyde, NC 28721",+18284526620,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,7,"63,048",Haywood,28716 28721 28738 28745 28751 28785 28786,NCDHHS Local DSS Directory,haywood-county-department-of-social-services-energy,haywood-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,74,Henderson County Department of Social Services,,"1200 Spartanburg Hwy., Suite 300, Hendersonville, N.C.  28792",+18286975500,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,19,"120,771",Henderson,28724 28726 28727 28729 28731 28732 28735 28739 28742 28758 28759 28760 28766 28773 28784 28790 28791 28792 28793,NCDHHS Local DSS Directory,henderson-county-department-of-social-services-energy,henderson-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,75,Hertford County Department of Social Services,Winton,"704 N King St., Winton, NC 27986",+12523587830,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,8,"19,169",Hertford,27805 27818 27855 27897 27910 27922 27942 27986,NCDHHS Local DSS Directory,hertford-county-department-of-social-services-energy,hertford-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,76,Hoke County Department of Social Services,Raeford,"314 South Magnolia St., Raeford, NC 28376",+19108758725,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,5,"55,382",Hoke,28315 28357 28376 28377 28386,NCDHHS Local DSS Directory,hoke-county-department-of-social-services-energy,hoke-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,77,Hyde County Department of Social Services,Engelhard,"35015 US Hwy 264, Engelhard, NC  27824",+12529264199,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,6,"4,583",Hyde,27810 27824 27826 27860 27875 27885,NCDHHS Local DSS Directory,hyde-county-department-of-social-services-energy,hyde-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,78,Iredell County Department of Social Services,Statesville,"549 Eastside Drive, Statesville, NC 28625",+17048735631,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,14,"206,361",Iredell,27013 27020 28115 28117 28123 28125 28166 28625 28634 28660 28677 28678 28687 28689,NCDHHS Local DSS Directory,iredell-county-department-of-social-services-energy,iredell-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,79,Jackson County Department of Social Services,Sylva,"15 Griffin St., Sylva, NC 28779",+18285865546,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,11,"45,281",Jackson,28717 28719 28723 28725 28736 28741 28774 28779 28783 28788 28789,NCDHHS Local DSS Directory,jackson-county-department-of-social-services-energy,jackson-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,80,Johnston County Department of Social Services,Smithfield,"714 North St., Smithfield, NC 27577",+19199895300,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,19,"249,794",Johnston,27501 27504 27520 27524 27527 27528 27529 27542 27557 27568 27569 27576 27577 27591 27592 27593 27597 28334 28366,NCDHHS Local DSS Directory,johnston-county-department-of-social-services-energy,johnston-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,81,Jones County Department of Social Services,Trenton,"418 NC HWY 58 N., Unit D, Trenton, NC 28585",+12524482581,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,5,"9,462",Jones,28526 28555 28572 28573 28585,NCDHHS Local DSS Directory,jones-county-department-of-social-services-energy,jones-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,82,Lee County Department of Social Services,Sanford,"530 Carthage St., Sanford, NC 27330",+19197184690,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,6,"68,537",Lee,27330 27331 27332 27505 28326 28355,NCDHHS Local DSS Directory,lee-county-department-of-social-services-energy,lee-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,83,Lenoir County Department of Social Services,Kinston,"130 W. King St., Kinston, NC 28502",+12525596400,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,8,"55,332",Lenoir,28501 28504 28525 28530 28538 28551 28572 28578,NCDHHS Local DSS Directory,lenoir-county-department-of-social-services-energy,lenoir-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,84,Lincoln County Department of Social Services,Lincolnton,"1136 E. Main St., Lincolnton, NC 28093",+17047320738,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,10,"97,611",Lincoln,28006 28021 28033 28037 28080 28092 28093 28164 28168 28650,NCDHHS Local DSS Directory,lincoln-county-department-of-social-services-energy,lincoln-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,85,Macon County Department of Social Services,Franklin,"1832 Lakeside Drive, Franklin, NC 28734",+18283492124,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,6,"38,717",Macon,28734 28741 28744 28763 28775 28781,NCDHHS Local DSS Directory,macon-county-department-of-social-services-energy,macon-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,86,Madison County Department of Social Services,Marshall,"5707 U.S. Hwy 25/70, Suite 1, Marshall, NC 28753",+18286499498,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,3,"22,352",Madison,28743 28753 28754,NCDHHS Local DSS Directory,madison-county-department-of-social-services-energy,madison-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,87,Martin County Department of Social Services,Williamston,"305 E. Main St., Williamston, NC 27892",+12527894400,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,7,"21,523",Martin,27825 27840 27843 27846 27857 27871 27892,NCDHHS Local DSS Directory,martin-county-department-of-social-services-energy,martin-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,88,McDowell County Department of Social Services,Marion,"145 E. Court St., Marion, NC 28752",+18286523355,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,5,"45,269",McDowell,28167 28749 28752 28761 28762,NCDHHS Local DSS Directory,mcdowell-county-department-of-social-services-energy,mcdowell-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,89,Mecklenburg County Department of Social Services,Charlotte,"430 Stitt Road, Charlotte, NC 28213",+17043363000,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,55,"1,206,285",Mecklenburg,28031 28036 28070 28078 28105 28106 28126 28130 28134 28202 28203 28204 28205 28206 28207 28208 28209 28210 28211 28212 28213 28214 28215 28216 28217 28219 28220 28221 28222 28224 28226 28227 28228 28229 28230 28231 28232 28233 28234 28235 28236 28237 28241 28247 28256 28262 28266 28269 28270 28271 28273 28277 28278 28297 28299,NCDHHS Local DSS Directory,mecklenburg-county-department-of-social-services-energy,mecklenburg-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,90,Mitchell County Department of Social Services,Bakersville,"347 Long View Drive, Bakersville, NC 28705",+18286882175,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,3,"15,030",Mitchell,28705 28740 28777,NCDHHS Local DSS Directory,mitchell-county-department-of-social-services-energy,mitchell-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,91,Montgomery County Department of Social Services,Troy,"102 E. Spring St., Drawer N, Troy, NC 27371",+19105766531,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,8,"26,364",Montgomery,27209 27229 27281 27306 27341 27356 27371 28127,NCDHHS Local DSS Directory,montgomery-county-department-of-social-services-energy,montgomery-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,92,Moore County Department of Social Services,Carthage,"1036 Carriage Oaks Drive, Carthage, NC 28327",+19109472436,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,18,"108,417",Moore,27208 27209 27242 27281 27325 27341 27356 27376 28315 28326 28327 28350 28370 28373 28374 28387 28388 28394,NCDHHS Local DSS Directory,moore-county-department-of-social-services-energy,moore-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,93,Nash County Department of Social Services,,"120 Washington St. Nashville, NC 27856",+12524599818,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,11,"97,990",Nash,27557 27803 27804 27807 27809 27816 27822 27856 27868 27882 27891,NCDHHS Local DSS Directory,nash-county-department-of-social-services-energy,nash-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,94,New Hanover County Department of Social Services,Wilmington,"1650 Greenfield St., Wilmington, NC 28401",+19107983500,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,14,"243,333",New Hanover,28401 28402 28403 28404 28405 28406 28408 28409 28411 28412 28428 28429 28449 28480,NCDHHS Local DSS Directory,new-hanover-county-department-of-social-services-energy,new-hanover-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,95,Northampton County Department of Social Services,Jackson,"9588 NC 305 HWY, Jackson, NC 27845",+12525345811,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,12,"16,580",Northampton,27820 27831 27832 27842 27845 27853 27855 27862 27866 27869 27876 27897,NCDHHS Local DSS Directory,northampton-county-department-of-social-services-energy,northampton-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,96,Onslow County Department of Social Services,Jacksonville,"612 College St., Jacksonville, NC 28540",+19104554145,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,18,"212,954",Onslow,28445 28454 28460 28518 28521 28539 28540 28541 28542 28543 28544 28545 28546 28547 28555 28574 28582 28584,NCDHHS Local DSS Directory,onslow-county-department-of-social-services-energy,onslow-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,97,Orange County Department of Social Services,Hillsborough,"113 Mayo St., Hillsborough, NC 27278",+19192452800,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,12,"152,877",Orange,27231 27243 27278 27302 27510 27514 27515 27516 27517 27541 27572 27705,NCDHHS Local DSS Directory,orange-county-department-of-social-services-energy,orange-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,98,Pamlico County Department of Social Services,Bayboro,"828 Alliance Main St., Bayboro, NC 28515",+12527454086,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,9,"12,550",Pamlico,28510 28515 28529 28537 28552 28556 28560 28571 28587,NCDHHS Local DSS Directory,pamlico-county-department-of-social-services-energy,pamlico-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,99,Pasquotank County Department of Social Services,Elizabeth City,"709 Roanoke Ave., Elizabeth City, NC 27909",+12523382126,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,3,"41,418",Pasquotank,27906 27907 27909,NCDHHS Local DSS Directory,pasquotank-county-department-of-social-services-energy,pasquotank-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,100,Pender County Department of Social Services,Burgaw,"298-B Progress Drive, Burgaw, NC 28425",+19102591240,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,12,"70,077",Pender,28411 28421 28425 28435 28443 28445 28447 28448 28454 28457 28466 28478,NCDHHS Local DSS Directory,pender-county-department-of-social-services-energy,pender-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
,101,Perquimans County Department of Social Services,Hertford,"103 Charles St., Hertford, NC 27944",+12524267373,Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance,"electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit",1,3,"13,460",Perquimans,27919 27944 27980,NCDHHS Local DSS Directory,perquimans-county-department-of-social-services-energy,perquimans-county-department-of-social-services-emergency,,,,,,,,,,,,,,,,
