Organization,City,Address,Phone,Counties served,Help offered,State,Why not listed
Union County Crisis Intervention Program (CIP),Monroe,"2330 Concord Ave, Monroe, NC 28110",704-296-4300,Union,electric_bill,NC,no match in the state directory — needs its own cited source
Franklin-Vance-Warren Opportunity — Housing Choice Voucher / Section 8,Henderson,"180 S Beckford Dr, Henderson, NC 27536",252-492-0161,Vance,rent_assistance,NC,no match in the state directory — needs its own cited source
Franklin-Vance-Warren Opportunity — Weatherization / Energy Assistance,Henderson,"180 S Beckford Dr, Henderson, NC 27536",252-492-0161,Vance,"electric_bill, gas_bill",NC,no match in the state directory — needs its own cited source
House Wake! / Wake County Housing Assistance,Wake County,Wake County service area; verify current intake location,919-856-5689,Wake,rent_assistance,,placeholder text in address/city — not a real record
Wake County Human Services — Energy Assistance/CIP-LIEAP,Raleigh,"220 Swinburne St, Raleigh, NC 27620",919-212-7000,Wake,"electric_bill, gas_bill",NC,no match in the state directory — needs its own cited source
Wake County Human Services — Food & Nutrition Services,Raleigh,"220 Swinburne St, Raleigh, NC 27620",919-212-7000,Wake,food_pantry,NC,no match in the state directory — needs its own cited source
WAMY Community Action — Housing Program / Urgent Repair / Home Rehabilitation,Boone,"225 Birch St, Suite 2, Boone, NC 28607",828-264-2421,Watauga,rent_assistance,NC,no match in the state directory — needs its own cited source
United Way of Wayne County — U-CAN,Goldsboro,"309 N William St, Goldsboro, NC 27530",919-735-3591,Wayne,rent_assistance,NC,no match in the state directory — needs its own cited source
United Way of Wayne County — U-CAN Utility Assistance,Goldsboro,"309 N William St, Goldsboro, NC 27530",919-735-3591,Wayne,"electric_bill, gas_bill",NC,no match in the state directory — needs its own cited source
Blue Ridge Opportunity Commission — Housing / Community Action Services,North Wilkesboro,"710 Veterans Dr, North Wilkesboro, NC 28659",336-667-7174,Wilkes,rent_assistance,NC,no match in the state directory — needs its own cited source
WAMY Community Action — Housing Program / Helene Housing Assistance,Spruce Pine / Burnsville,"WAMY: 496 A Balsam Ave, Spruce Pine, NC 28777; Yancey DSS: 320 Pensacola Rd, Burnsville, NC 28714",828-264-2421,Yancey,rent_assistance,NC,no match in the state directory — needs its own cited source
