CornerHelp — master provider call sheet · 99 organizations · all 254 Texas counties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirements list will be given after scheduled appointment,,,,,,,,,,,,,,,,FILL THESE IN — in the order the script asks for them. Blank beats guessed.,,,,,,,,,,,,,,,,,,
WEEK 1,#,Organization,City,Address,Phone,Programs,Help offered,Counties,ZIPs,People reached,Counties served,ZIP codes served,Source,slug — do not edit,rent slug — do not edit,Status,Rent status,SERVICE AREA — whole county? which areas?,Funding lasts until,Reopens on,How to apply,Hours,Daily cap,Documents required,Most common reason turned away,Anything changing,Spoke with,Call outcome,Note,Called (date),VA,,,
,77,77,Conroe,304 Avenue E,(713) 752-0677,Assistance services,rent_assistance,1,0,"749,613",Montgomery,,The Salvation Army Houston Area Command — Community Centers,the-salvation-army-conroe-community-center,,accepting,,,There are funds for everyone in houston,,online,,0,"1. US Citizen
2. Eviction Notice
3. Proof of Citizenship
4. Banking Statements",If you dont have any of those documents,,Tanya,reached,Application is through online. SAHELP.org,2026-09-02,Karlo,The whoel of houston,,not_applicable
,78,Texas Neighborhood Services,Weatherford,,+18175985700,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",7,60,"734,252",Erath; Hood; Johnson; Palo Pinto; Parker; Somervell; Wise,76008 76009 76020 76023 76028 76031 76033 76035 76036 76043 76044 76048 76049 76050 76058 76059 76061 76063 76066 76067 76070 76071 76073 76077 76078 76082 76084 76085 76086 76087 76088 76093 76097 76098 76108 76225 76234 76270 76401 76426 76429 76431 76433 76445 76446 76449 76453 76457 76462 76463 76465 76472 76475 76476 76484 76486 76487 76490 76649 76690,TDHCA Master List of Community Affairs Subrecipients,texas-neighborhood-services-ceap,,waitlist,,,,,online,,,,,,Melinda,reached,"The program is currently closed, but customers can still apply for assistance through the website. Applications will be reviewed, and qualified applicants will be contacted regarding the next steps. Water and rental assistance are not covered under this program. ",2026-09-02,Karlo,,,
,79,"West Texas Opportunities, Inc.",Lamesa,,+18068728354,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",18,69,"510,349",Andrews; Borden; Dawson; Ector; Fisher; Gaines; Glasscock; Howard; Loving; Martin; Midland; Mitchell; Nolan; Reeves; Scurry; Upton; Ward; Winkler,79331 79342 79351 79359 79360 79377 79506 79511 79512 79517 79526 79527 79532 79534 79535 79537 79543 79545 79546 79549 79556 79560 79561 79565 79701 79702 79703 79704 79705 79706 79707 79708 79710 79712 79713 79714 79718 79719 79720 79733 79738 79739 79741 79742 79745 79748 79749 79752 79755 79756 79758 79759 79760 79761 79762 79763 79764 79765 79766 79768 79769 79770 79772 79777 79778 79782 79783 79785 79789,TDHCA Master List of Community Affairs Subrecipients,west-texas-opportunities-inc-ceap,,unknown,,,,,online,,,,,,,voicemail,"The operator answered briefly but routed the call to voicemail, preventing further assistance or confirmation from being provided.",,,,,
,80,Panhandle Community Services,Amarillo,,+18063722531,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",26,96,"439,754",Armstrong; Briscoe; Carson; Castro; Childress; Collingsworth; Dallam; Deaf Smith; Donley; Gray; Hall; Hansford; Hartley; Hemphill; Hutchinson; Lipscomb; Moore; Ochiltree; Oldham; Parmer; Potter; Randall; Roberts; Sherman; Swisher; Wheeler,73960 79001 79002 79003 79005 79007 79008 79009 79010 79011 79012 79013 79014 79015 79018 79019 79022 79024 79027 79029 79033 79034 79035 79036 79039 79040 79042 79043 79044 79045 79046 79051 79052 79056 79057 79058 79059 79061 79062 79063 79065 79066 79068 79070 79078 79079 79080 79081 79083 79084 79085 79086 79087 79088 79091 79092 79093 79094 79095 79096 79097 79098 79101 79102 79103 79104 79105 79106 79107 79108 79109 79110 79111 79114 79116 79117 79118 79119 79120 79121 79124 79159 79201 79226 79230 79237 79239 79240 79245 79251 79255 79257 79259 79261 79325 79347,TDHCA Master List of Community Affairs Subrecipients,panhandle-community-services-ceap,,waitlist,,,,,online,8AM - 5PM CST,,,,,,reached,For people with disability only. For utility assistance the application is done through Panhandlehelp.org After submission it will be reviewed for 30 days. That's the time the results will come through.,2026-09-02,Karlo,,,
,81,"South Plains Community Action Association, Inc.",Levelland,,+18068946104,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",15,80,"430,794",Bailey; Cochran; Crosby; Dickens; Floyd; Garza; Hale; Hockley; King; Lamb; Lubbock; Lynn; Motley; Terry; Yoakum,79031 79032 79041 79043 79064 79072 79073 79082 79220 79221 79229 79234 79235 79236 79241 79243 79244 79248 79250 79255 79256 79258 79311 79312 79313 79314 79316 79322 79323 79324 79326 79329 79330 79336 79339 79343 79344 79345 79346 79347 79350 79351 79353 79355 79356 79357 79358 79359 79363 79364 79366 79367 79370 79371 79372 79373 79376 79381 79382 79401 79403 79404 79407 79408 79409 79410 79411 79412 79413 79414 79415 79416 79423 79424 79452 79453 79464 79490 79493 79499,TDHCA Master List of Community Affairs Subrecipients,south-plains-community-action-association-inc-ceap,,unknown,,,,,,,,,,,,voicemail,"The operator answered the call and forwarded it to Utility Assistance. However, once forwarded, the call was routed to voicemail, prompting me to leave a recorded message.",2026-09-02,Karlo,,,
,82,Southeast Texas Regional Planning Commission,Beaumont,,+14098998444,CEAP,"electric_bill, gas_bill, reconnect_fee, utility_deposit",3,40,"408,189",Hardin; Jefferson; Orange,77376 77519 77564 77585 77611 77613 77619 77622 77625 77627 77629 77630 77631 77632 77639 77640 77641 77642 77643 77651 77655 77656 77657 77659 77662 77663 77665 77670 77701 77702 77703 77704 77705 77706 77707 77708 77713 77720 77725 77726,TDHCA Master List of Community Affairs Subrecipients,southeast-texas-regional-planning-commission-ceap,,unknown,,,,,,8AM - 4PM,,,,,,voicemail,Was routed to voicemail box,2026-09-02,Karlo,,,
,83,Catholic Charities — Beacon of Hope Center,Galveston,"4700 Broadway, Suite B-101",+14097622064,Assistance services,rent_assistance,1,0,"367,407",Galveston,,Catholic Charities Archdiocese of Galveston-Houston — Locations,catholic-charities-beacon-of-hope-center,,unknown,,,,,,8AM to 4PM (Branch Office),,,,,,reached,"Asked to leave a phone number, she will call us back",2026-09-02,Karlo,,,
,84,Galveston County Food Bank,Texas City,624 4th Avenue N.,,Assistance services,food_pantry,1,0,"367,407",Galveston,,Harris County Public Library — Food Banks and Food Assistance,galveston-county-food-bank,,unknown,,,,,walk_in,,,,,,,voicemail,"Tried calling, was referred to an operator, but routed to voicemail twice. ",2026-09-02,Karlo,,,
,85,Nueces County Community Action Agency,Corpus Christi,,+13618837201,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",1,36,"356,424",Nueces,78330 78339 78343 78351 78373 78380 78383 78401 78402 78403 78404 78405 78406 78407 78408 78409 78410 78411 78412 78413 78414 78415 78416 78417 78418 78419 78426 78427 78460 78463 78465 78466 78467 78468 78469 78480,TDHCA Master List of Community Affairs Subrecipients,nueces-county-community-action-agency-ceap,,unknown,,,,,online,,,,,,Naomi,refused,"
The agent was unable to provide details on how the process works and simply redirected all inquiries to the website, nccaatx.org, without providing further guidance or clarification.",2026-09-02,Karlo,,,
,86,"Tri-County Community Action, Inc.",Center,,+19365986315,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",9,55,"341,265",Harrison; Jasper; Newton; Panola; Sabine; San Augustine; Shelby; Tyler; Upshur,75601 75602 75605 75631 75633 75639 75640 75642 75643 75644 75645 75647 75650 75651 75661 75669 75670 75671 75672 75683 75686 75688 75691 75692 75755 75928 75929 75930 75931 75932 75933 75935 75936 75938 75942 75948 75951 75954 75956 75959 75966 75968 75972 75973 75974 75975 75977 75979 77612 77616 77624 77632 77660 77663 77664,TDHCA Master List of Community Affairs Subrecipients,tri-county-community-action-inc-ceap,,accepting,,,,,online,,,,,,Patricia,refused,"Patricia was not willing to provide any information and redirected all inquiries to tccainc.org. The website provides access to the application form and a complete list of requirements, so applicants can review the information and submit their application directly through the site.",,,,,
,87,"Community Services of Northeast Texas, Inc.",Linden,,+19037565596,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",12,75,"339,102",Bowie; Camp; Cass; Delta; Franklin; Hopkins; Lamar; Marion; Morris; Rains; Red River; Titus,75410 75411 75412 75415 75416 75417 75420 75421 75426 75431 75432 75433 75435 75436 75437 75440 75441 75446 75448 75450 75451 75453 75455 75456 75457 75460 75461 75462 75468 75469 75470 75471 75472 75473 75477 75478 75480 75481 75482 75483 75486 75487 75494 75497 75501 75503 75504 75505 75550 75551 75554 75555 75556 75558 75559 75560 75561 75562 75563 75564 75566 75567 75568 75569 75570 75571 75572 75574 75630 75638 75656 75657 75668 75683 75686,TDHCA Master List of Community Affairs Subrecipients,community-services-of-northeast-texas-inc-ceap,,unknown,,,,,,,,,,,,no_answer,Asked to record message. ,2026-09-03,Karlo,,,
,88,Community Action Inc. of Central Texas,San Marcos,,+15123921161,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",3,22,"326,428",Blanco; Caldwell; Hays,78606 78610 78616 78619 78620 78632 78635 78636 78640 78644 78648 78652 78655 78656 78661 78662 78663 78666 78667 78676 78737 78953,TDHCA Master List of Community Affairs Subrecipients,community-action-inc-of-central-texas-ceap,,unknown,,,,,,"8am to 12nn, 1PM to 5PM.",,,,,,voicemail,Asked to record message. ,2026-09-03,Karlo,,,
,89,Guadalupe Economic Services Corporation,Lubbock,,+18067444416,WAP,"home_repair, hvac_repair, weatherization",1,30,"309,904",Lubbock,79311 79329 79343 79350 79358 79363 79364 79366 79382 79401 79403 79404 79407 79408 79409 79410 79411 79412 79413 79414 79415 79416 79423 79424 79452 79453 79464 79490 79493 79499,TDHCA Master List of Community Affairs Subrecipients,guadalupe-economic-services-corporation-wap,,,,,,,,,,,,,,,,,,,,
,90,"Lubbock, City of, Community Development Department",Lubbock,,+18067752296,"CEAP, WAP","electric_bill, gas_bill, home_repair, hvac_repair, reconnect_fee, utility_deposit, weatherization",1,30,"309,904",Lubbock,79311 79329 79343 79350 79358 79363 79364 79366 79382 79401 79403 79404 79407 79408 79409 79410 79411 79412 79413 79414 79415 79416 79423 79424 79452 79453 79464 79490 79493 79499,TDHCA Master List of Community Affairs Subrecipients,lubbock-city-of-community-development-department-ceap,,accepting,,,,,phone,8AM - 5PM CST,,"1. Must have a Notice of Disconnection.
2. Someone in the household must be a senior citizen or a child under 5 years old.",If electricity is still active,,Karina,reached,"Advised to contact the following organizations for additional assistance:

Neighborhood House: 806-589-1907
Catholic Charities: 806-765-8475",2026-09-03,Karlo,,,
,91,Webb County Community Action Agency,Laredo,,+19565234222,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",1,11,"268,453",Webb,78019 78040 78041 78042 78043 78044 78045 78046 78344 78369 78371,TDHCA Master List of Community Affairs Subrecipients,webb-county-community-action-agency-ceap,,seasonal_closed,,,,2026-09-14,walk_in,8AM - 5PM CST,,"1. The checklist will be provided during the application intake process.

2. They prefer not to provide specific information, as requirements may vary depending on the applicant’s profile. ",,,Miss Rubio,reached,"Advised the customer to visit the office on September 14, when they reopen.",2026-09-03,Karlo,,,
,92,Concho Valley Community Action Agency,San Angelo,,+13256532411,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",14,61,"174,876",Coke; Coleman; Concho; Crockett; Irion; Kimble; McCulloch; Menard; Reagan; Runnels; Schleicher; Sterling; Sutton; Tom Green,76821 76825 76828 76834 76836 76837 76841 76845 76848 76849 76852 76854 76858 76859 76861 76862 76865 76866 76871 76872 76873 76874 76875 76878 76882 76883 76884 76886 76887 76888 76901 76902 76903 76904 76905 76906 76908 76909 76930 76932 76933 76934 76935 76936 76937 76939 76940 76941 76943 76945 76950 76951 76955 76957 76958 79506 79519 79538 79566 79567 79739,TDHCA Master List of Community Affairs Subrecipients,concho-valley-community-action-agency-ceap,,unknown,,,,,,,,,,,,gatekeeper,The call was answered by an AI agent designed to interact like a live representative. The system was able to respond to inquiries and handle the conversation similarly to a human agent.,2026-09-03,Karlo,,,
,93,Cornerstone Community Action Agency,Coleman,,+13256254167,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",7,51,"119,116",Brown; Callahan; Coleman; Comanche; Eastland; McCulloch; Runnels,76432 76435 76436 76437 76442 76443 76444 76445 76446 76448 76454 76455 76464 76468 76470 76471 76474 76801 76802 76803 76804 76821 76823 76825 76827 76828 76834 76836 76845 76852 76857 76858 76861 76865 76871 76872 76873 76875 76878 76882 76884 76887 76888 76890 76933 79504 79510 79519 79538 79566 79567,TDHCA Master List of Community Affairs Subrecipients,cornerstone-community-action-agency-ceap,,seasonal_closed,,,,2026-09-30,online,,,"At least one household member age 60 or older must be living in the home.

A child age 5 or younger must be living in the household.

A household member with a disability must be living in the home",,,Reiley,reached,"Spoke with Reiley, who confirmed that they are currently closed for intake. She mentioned that the program will likely reopen toward the end of this month, although no specific reopening date was provided. ",2026-09-03,Karlo,,,
,94,South Texas Development Council,Laredo,,+19567223995,"CEAP, WAP","electric_bill, gas_bill, home_repair, hvac_repair, reconnect_fee, utility_deposit, weatherization",3,13,"84,541",Jim Hogg; Starr; Zapata,78067 78076 78360 78361 78536 78545 78547 78548 78564 78582 78584 78588 78591,TDHCA Master List of Community Affairs Subrecipients,south-texas-development-council-ceap,,seasonal_closed,,,,,,,,,,,Leticia,reached,"Spoke with the operator, who confirmed that they are currently closed for new intakes. I was referred to 956-234-182 for Utility Assistance for further assistance.",2026-09-03,Karlo,,,
,95,Economic Action Committee of the Gulf Coast,Bay City,,+19792456901,"CEAP, WAP","electric_bill, gas_bill, home_repair, hvac_repair, reconnect_fee, utility_deposit, weatherization",2,19,"80,918",Matagorda; Wharton,77404 77414 77419 77420 77428 77434 77435 77437 77448 77453 77454 77455 77457 77458 77465 77467 77468 77482 77488,TDHCA Master List of Community Affairs Subrecipients,economic-action-committee-of-the-gulf-coast-ceap,,unknown,,,,,,,,,,,,voicemail,"High wait time, forwarded to VM - will attempt to call again",2026-09-03,Karlo,,,
,96,"Aspermont Small Business Development Center, Inc.",Aspermont,,+19409893538,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",6,28,"58,752",Haskell; Jones; Kent; Knox; Stonewall; Throckmorton,76363 76371 76372 76388 76483 76491 79227 79501 79502 79503 79505 79518 79520 79521 79525 79528 79529 79533 79536 79539 79540 79544 79547 79548 79553 79560 79561 79601,TDHCA Master List of Community Affairs Subrecipients,aspermont-small-business-development-center-inc-ceap,,accepting,,,,,,,,,,,Kelly,refused,"Kelly refused to give details without confirming phone number, mailing address, SSN etc..",2026-09-03,Karlo,,,
,97,Community Action Social Services & Education,Eagle Pass,,+18307737274,"CEAP, WAP","electric_bill, gas_bill, home_repair, hvac_repair, reconnect_fee, utility_deposit, weatherization",1,4,"57,885",Maverick,78852 78853 78860 78877,TDHCA Master List of Community Affairs Subrecipients,community-action-social-services-education-ceap,,funds_exhausted,,,,Agent can't determine for now,phone,9AM - 5PM CST,,"New Funding year, documents/requirements are changing, refuse to give details",,,Karina,reached,"Funds exhausted. Entering a new funding year, advised to call again from time to time to check. ",2026-09-03,Karlo,,,
,98,Kleberg County Human Services,Kingsville,,+13615958572,"CEAP, WAP","electric_bill, gas_bill, home_repair, hvac_repair, reconnect_fee, utility_deposit, weatherization",2,4,"31,324",Kenedy; Kleberg,78338 78363 78379 78385,TDHCA Master List of Community Affairs Subrecipients,kleberg-county-human-services-ceap,,accepting,,,,,walk_in,9AM - 5PM CST,None,Requirements list will be given after scheduled appointment,The agent can't determine this. The case manager will make that decision on-site.,,Joseph,reached,"
Land mark: 1109 East Santa Hitrudes St, Kingsville. El Dorado restaurant ",2026-09-03,Karlo,,,
,99,Pecos County Community Action Agency,Fort Stockton,,+14323367526,"CEAP, WAP","electric_bill, gas_bill, home_repair, hvac_repair, reconnect_fee, utility_deposit, weatherization",3,9,"20,241",Crane; Pecos; Terrell,78851 79730 79731 79735 79740 79743 79744 79781 79848,TDHCA Master List of Community Affairs Subrecipients,pecos-county-community-action-agency-ceap,,accepting,,,,,walk_in,9AM - 5PM CST,None,"Passport, If no Passport, Birth Certificate, License, and Social.",No disqualification,,Patricia,reached,"Pick up the application
100 South Jackson",2026-09-03,Karlo,,,
,100,"Agricultural and Labor Program, Inc.",,,18639563491,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",7,123,"1,994,487",Collier; Glades; Hendry; Highlands; Martin; Polk; St. Lucie,33438 33440 33455 33469 33471 33475 33801 33802 33803 33804 33805 33806 33807 33809 33810 33811 33812 33813 33815 33820 33823 33825 33826 33827 33830 33831 33835 33836 33837 33838 33839 33840 33841 33843 33844 33845 33846 33849 33850 33851 33852 33853 33854 33855 33856 33857 33858 33859 33860 33862 33867 33868 33870 33871 33872 33875 33876 33877 33880 33881 33882 33883 33884 33885 33896 33897 33898 33935 33960 33975 34101 34102 34103 34104 34105 34106 34107 34108 34109 34110 34112 34113 34114 34116 34117 34119 34120 34134 34141 34142 34145 34146 34759 34945 34946 34947 34948 34949 34950 34951 34952 34953 34954 34956 34957 34958 34974 34979 34981 34982 34983 34984 34985 34986 34987 34988 34990 34991 34992 34994 34995 34996 34997,FloridaCommerce LIHEAP provider list,agricultural-and-labor-program-liheap,,,,,,,,,,,,,,,,,,,,
,101,"Bay County Council on Aging, Inc.",,,18502150173,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,17,"199,718",Bay,32401 32402 32403 32404 32405 32406 32407 32408 32409 32411 32413 32417 32437 32438 32444 32456 32466,FloridaCommerce LIHEAP provider list,bay-county-council-on-aging-liheap,,,,,,,,,,,,,,,,,,,,
,102,Brevard County Department of Housing and Human Services,,,13216331951,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,42,"658,447",Brevard,32754 32780 32781 32783 32796 32901 32902 32903 32904 32905 32906 32907 32908 32909 32910 32911 32912 32920 32922 32923 32924 32925 32926 32927 32931 32932 32934 32935 32936 32937 32940 32941 32949 32950 32951 32952 32953 32954 32955 32956 32959 32976,FloridaCommerce LIHEAP provider list,brevard-county-department-of-housing-and-human-services-liheap,,,,,,,,,,,,,,,,,,,,
,103,"Broward County Department of Human Services, Community Action Agency",,,19543575025,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,81,"2,037,472",Broward,33004 33008 33009 33019 33020 33021 33022 33023 33024 33025 33026 33027 33028 33029 33060 33061 33062 33063 33064 33065 33066 33067 33068 33069 33071 33073 33074 33075 33076 33077 33081 33082 33083 33084 33093 33097 33301 33302 33303 33304 33305 33306 33307 33308 33309 33310 33311 33312 33313 33314 33315 33316 33317 33318 33319 33320 33321 33322 33323 33324 33325 33326 33327 33328 33329 33330 33331 33332 33334 33335 33338 33339 33345 33346 33348 33351 33355 33359 33441 33442 33443,FloridaCommerce LIHEAP provider list,broward-county-department-of-human-services-community-action-agency-liheap,,,,,,,,,,,,,,,,,,,,
,104,"Capital Area Community Action Agency, Inc.",,,18507590824,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",8,43,"447,763",Calhoun; Franklin; Gadsden; Gulf; Jefferson; Leon; Liberty; Wakulla,32301 32302 32303 32304 32305 32308 32309 32310 32311 32312 32314 32315 32316 32317 32318 32320 32321 32322 32324 32326 32327 32328 32331 32332 32333 32334 32336 32343 32344 32345 32346 32351 32352 32358 32360 32362 32421 32424 32430 32438 32449 32456 32465,FloridaCommerce LIHEAP provider list,capital-area-community-action-agency-liheap,,,,,,,,,,,,,,,,,,,,
,105,"Central Florida Community Action Agency, Inc.",,,13523737667,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",3,70,"768,452",Alachua; Levy; Marion,32113 32133 32134 32162 32179 32183 32195 32601 32603 32604 32605 32606 32607 32608 32609 32610 32614 32615 32616 32617 32618 32621 32622 32625 32626 32627 32631 32635 32640 32641 32643 32644 32653 32655 32658 32666 32667 32668 32669 32686 32693 32694 32696 32702 32784 34420 34421 34430 34431 34432 34449 34470 34471 34472 34473 34474 34475 34476 34477 34478 34479 34480 34481 34482 34483 34488 34489 34491 34492 34498,FloridaCommerce LIHEAP provider list,central-florida-community-action-agency-liheap,,,,,,,,,,,,,,,,,,,,
,106,Charlotte County Department of Human Services,,,19418336500,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,17,"212,122",Charlotte,33938 33946 33947 33948 33949 33950 33951 33952 33953 33954 33955 33980 33981 33982 33983 34223 34224,FloridaCommerce LIHEAP provider list,charlotte-county-department-of-human-services-liheap,,,,,,,,,,,,,,,,,,,,
,107,Citrus County Division of Housing Services,,,13525277520,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,22,"170,174",Citrus,34423 34428 34429 34433 34434 34436 34441 34442 34445 34446 34447 34448 34449 34450 34451 34452 34453 34460 34461 34464 34465 34487,FloridaCommerce LIHEAP provider list,citrus-county-division-of-housing-services-liheap,,,,,,,,,,,,,,,,,,,,
,108,"Community Action Program Committee, Inc.",,,18506072088,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,23,"331,275",Escambia,32501 32502 32503 32504 32505 32506 32507 32508 32513 32514 32516 32522 32523 32524 32526 32533 32534 32535 32560 32561 32568 32577 32591,FloridaCommerce LIHEAP provider list,community-action-program-committee-liheap,,,,,,,,,,,,,,,,,,,,
,109,Desoto County Board of Commissioners,,,18639934858,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,2,"36,744",DeSoto,34266 34269,FloridaCommerce LIHEAP provider list,desoto-county-board-of-commissioners-liheap,,,,,,,,,,,,,,,,,,,,
,110,"Economic Opportunities Council of Indian River County, Inc.",,,17725624177,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",2,19,"214,508",Indian River; Okeechobee,32948 32957 32958 32960 32961 32962 32963 32964 32965 32966 32967 32968 32969 32970 32971 32978 34972 34973 34974,FloridaCommerce LIHEAP provider list,economic-opportunities-council-of-indian-river-county-liheap,,,,,,,,,,,,,,,,,,,,
,111,FloridaCommerce (state administers LIHEAP directly),,,18507178450,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,26,"494,605",Seminole,32701 32703 32707 32708 32714 32715 32716 32718 32719 32730 32732 32746 32747 32750 32751 32752 32762 32765 32766 32771 32772 32773 32779 32791 32792 32795,FloridaCommerce LIHEAP provider list,floridacommerce-state-administers-liheap-directly-liheap,,,,,,,,,,,,,,,,,,,,
,112,Hillsborough County Social Services Department,,,18132725220,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,81,"1,581,426",Hillsborough,33508 33509 33510 33511 33527 33530 33534 33547 33548 33549 33550 33556 33558 33559 33563 33564 33565 33566 33567 33568 33569 33570 33571 33572 33573 33575 33578 33579 33583 33584 33587 33592 33594 33595 33596 33598 33601 33602 33603 33604 33605 33606 33607 33609 33610 33611 33612 33613 33614 33615 33616 33617 33618 33619 33621 33622 33623 33624 33625 33626 33629 33634 33635 33637 33646 33647 33672 33673 33674 33675 33677 33679 33680 33681 33682 33684 33685 33687 33688 33689 33694,FloridaCommerce LIHEAP provider list,hillsborough-county-social-services-department-liheap,,,,,,,,,,,,,,,,,,,,
,113,Jackson County Senior Citizens Org. Inc.,,,18502634650,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,12,"49,980",Jackson,32420 32423 32426 32431 32440 32442 32443 32445 32446 32447 32448 32460,FloridaCommerce LIHEAP provider list,jackson-county-senior-citizens-org-liheap,,,,,,,,,,,,,,,,,,,,
,114,"Lake Community Action Agency, Inc.",,,13524340554,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,35,"444,204",Lake,32102 32158 32159 32163 32195 32702 32720 32726 32727 32735 32736 32756 32757 32767 32776 32778 32784 34705 34711 34712 34713 34714 34715 34731 34736 34737 34748 34749 34753 34755 34756 34762 34788 34789 34797,FloridaCommerce LIHEAP provider list,lake-community-action-agency-liheap,,,,,,,,,,,,,,,,,,,,
,115,Lee County Department of Human Services,,,12395337900,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,47,"860,959",Lee,33901 33902 33903 33904 33905 33906 33907 33908 33909 33910 33912 33913 33914 33915 33916 33917 33918 33919 33920 33921 33922 33924 33928 33929 33931 33932 33936 33955 33956 33957 33965 33966 33967 33970 33971 33972 33973 33974 33976 33990 33991 33993 33994 34133 34134 34135 34136,FloridaCommerce LIHEAP provider list,lee-county-department-of-human-services-liheap,,,,,,,,,,,,,,,,,,,,
,116,Miami-Dade County Community Action Agency,,,17864694640,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,114,"2,838,461",Miami-Dade,33002 33010 33011 33012 33013 33014 33015 33016 33017 33018 33030 33031 33032 33033 33034 33035 33054 33055 33056 33090 33092 33101 33109 33114 33116 33119 33122 33124 33125 33126 33127 33128 33129 33130 33131 33132 33133 33134 33135 33136 33137 33138 33139 33140 33141 33142 33143 33144 33145 33146 33147 33149 33150 33152 33153 33154 33155 33156 33157 33158 33160 33161 33162 33163 33164 33165 33166 33167 33168 33169 33170 33172 33173 33174 33175 33176 33177 33178 33179 33180 33181 33182 33183 33184 33185 33186 33187 33189 33190 33193 33194 33195 33196 33197 33222 33231 33233 33234 33238 33239 33242 33243 33245 33247 33255 33256 33257 33261 33265 33266 33269 33280 33283 33296,FloridaCommerce LIHEAP provider list,miami-dade-county-community-action-agency-liheap,,,,,,,,,,,,,,,,,,,,
,117,Monroe County Board of County Commissioners,,,13052924408,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,12,"80,908",Monroe,33001 33036 33037 33040 33041 33042 33043 33045 33050 33051 33052 33070,FloridaCommerce LIHEAP provider list,monroe-county-board-of-county-commissioners-liheap,,,,,,,,,,,,,,,,,,,,
