CornerHelp — master provider call sheet · 99 organizations · all 254 Texas counties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirements list will be given after scheduled appointment,,,,,,,,,,,,,,,,FILL THESE IN — in the order the script asks for them. Blank beats guessed.,,,,,,,,,,,,,,,,,,
WEEK 1,#,Organization,City,Address,Phone,Programs,Help offered,Counties,ZIPs,People reached,Counties served,ZIP codes served,Source,slug — do not edit,rent slug — do not edit,Status,Rent status,SERVICE AREA — whole county? which areas?,Funding lasts until,Reopens on,How to apply,Hours,Daily cap,Documents required,Most common reason turned away,Anything changing,Spoke with,Call outcome,Note,Called (date),VA,,,
,58,Greater East Texas Community Action Program (GETCAP),Nacogdoches,,+18006215746,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",30,254,"2,411,544",Anderson; Angelina; Chambers; Cherokee; Galveston; Gregg; Hardin; Harrison; Henderson; Houston; Jasper; Jefferson; Kaufman; Liberty; Nacogdoches; Newton; Orange; Panola; Polk; Rusk; Sabine; San Augustine; San Jacinto; Shelby; Smith; Trinity; Tyler; Upshur; Van Zandt; Wood,75103 75114 75117 75124 75126 75127 75140 75142 75143 75147 75148 75156 75157 75158 75159 75160 75161 75163 75169 75410 75431 75494 75497 75601 75602 75603 75604 75605 75606 75607 75608 75615 75631 75633 75639 75640 75642 75643 75644 75645 75647 75650 75651 75652 75654 75660 75661 75662 75663 75666 75667 75669 75670 75671 75672 75681 75683 75684 75686 75688 75691 75692 75693 75701 75702 75703 75704 75705 75706 75707 75708 75709 75710 75711 75712 75713 75750 75751 75752 75754 75755 75756 75757 75758 75759 75760 75762 75763 75764 75765 75766 75770 75771 75773 75778 75779 75783 75784 75785 75789 75790 75791 75792 75801 75802 75803 75832 75835 75839 75844 75845 75847 75851 75853 75856 75861 75862 75865 75901 75902 75903 75904 75915 75925 75926 75928 75929 75930 75931 75932 75933 75935 75936 75937 75938 75939 75941 75942 75943 75944 75946 75948 75949 75951 75954 75956 75959 75960 75961 75963 75964 75965 75966 75968 75969 75972 75973 75974 75975 75976 75977 75979 75980 77320 77327 77328 77331 77335 77351 77358 77359 77360 77364 77371 77372 77376 77378 77399 77510 77511 77514 77517 77518 77519 77523 77533 77535 77538 77539 77546 77549 77550 77551 77552 77553 77554 77560 77563 77564 77565 77568 77573 77574 77575 77580 77585 77590 77591 77592 77597 77611 77612 77613 77616 77617 77619 77622 77623 77624 77625 77627 77629 77630 77631 77632 77639 77640 77641 77642 77643 77650 77651 77655 77656 77657 77659 77660 77662 77663 77664 77665 77670 77701 77702 77703 77704 77705 77706 77707 77708 77713 77720 77725 77726,TDHCA Master List of Community Affairs Subrecipients,greater-east-texas-community-action-program-getcap-ceap,,unknown,,,,,,,,,,,,voicemail,Routed to Voice Mail After ringing. ,2026-09-04,Karlo,,,
WEEK 1,59,"Fort Worth, City of, Neighborhood Services Department",Fort Worth,,+18173925790,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",1,91,"2,373,979",Tarrant,75050 75051 75052 75053 75054 75261 76001 76002 76003 76004 76005 76006 76007 76008 76010 76011 76012 76013 76014 76015 76016 76017 76018 76020 76021 76022 76028 76034 76036 76039 76040 76051 76052 76053 76054 76060 76063 76071 76092 76094 76095 76096 76099 76101 76102 76103 76104 76105 76106 76107 76108 76109 76110 76111 76112 76113 76114 76115 76116 76117 76118 76119 76120 76121 76123 76124 76126 76127 76131 76132 76133 76134 76135 76136 76137 76140 76147 76148 76155 76161 76162 76163 76164 76177 76179 76180 76182 76185 76244 76248 76262,TDHCA Master List of Community Affairs Subrecipients,fort-worth-city-of-neighborhood-services-department-ceap,,unknown,,,,,,,,,,,,no_answer,Ringing only,2026-09-04,Karlo,,,
WEEK 1,60,Bexar County Department of Community Resources,San Antonio,,+12103353666,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",1,97,"2,107,424",Bexar,78002 78006 78015 78023 78039 78052 78054 78069 78073 78101 78109 78112 78148 78150 78152 78154 78201 78202 78203 78204 78205 78206 78207 78208 78209 78210 78211 78212 78213 78214 78215 78216 78217 78218 78219 78220 78221 78222 78223 78224 78225 78226 78227 78228 78229 78230 78231 78232 78233 78234 78235 78236 78237 78238 78239 78240 78242 78244 78245 78246 78247 78248 78249 78250 78251 78252 78253 78254 78255 78256 78257 78258 78259 78260 78261 78263 78264 78265 78266 78268 78269 78270 78278 78279 78280 78283 78284 78288 78291 78292 78293 78294 78295 78296 78297 78298 78299,TDHCA Master List of Community Affairs Subrecipients,bexar-county-department-of-community-resources-ceap,,seasonal_closed,,,,,appointment,,,"Required Documents:

Birth Certificate for everyone in the household
Driver’s License for everyone in the household
CPS Utility Bill
Proof of Income for the last 30 days for everyone in the household",if abpve the required income,,Alex,reached,"Application Process:

No appointments are available for the remainder of this week.
Requests can be submitted online 24/7, with online intake available on Wednesdays through ua.fair.org.
The call was ended when the agent requested the CPS account number to proceed.",2026-09-04,Karlo,,,
WEEK 1,61,"San Antonio, City of, Department of Human Services",San Antonio,,+12102078198,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",1,97,"2,107,424",Bexar,78002 78006 78015 78023 78039 78052 78054 78069 78073 78101 78109 78112 78148 78150 78152 78154 78201 78202 78203 78204 78205 78206 78207 78208 78209 78210 78211 78212 78213 78214 78215 78216 78217 78218 78219 78220 78221 78222 78223 78224 78225 78226 78227 78228 78229 78230 78231 78232 78233 78234 78235 78236 78237 78238 78239 78240 78242 78244 78245 78246 78247 78248 78249 78250 78251 78252 78253 78254 78255 78256 78257 78258 78259 78260 78261 78263 78264 78265 78266 78268 78269 78270 78278 78279 78280 78283 78284 78288 78291 78292 78293 78294 78295 78296 78297 78298 78299,TDHCA Master List of Community Affairs Subrecipients,san-antonio-city-of-department-of-human-services-ceap,,accepting,,,,,walk_in,8AM to 10AM CST,none,"Requirements:

Photo ID
Copy of a utility bill dated within the last 30 days
Proof of income",,,Daniela,reached,"Requirements:

Photo ID
Copy of a utility bill dated within the last 30 days
Proof of income

Walk-In Availability:

No daily cap for walk-in applicants
Walk-in hours: 8:00 AM–10:00 AM",2026-09-04,Karlo,,,
WEEK 1,62,Community Action Corporation of South Texas,Alice,,+13616640145,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",14,108,"1,859,565",Bee; Brooks; Cameron; Duval; Hidalgo; Jim Hogg; Jim Wells; Kenedy; Kleberg; San Patricio; Starr; Webb; Willacy; Zapata,78019 78040 78041 78042 78043 78044 78045 78046 78067 78076 78102 78104 78119 78125 78142 78146 78162 78332 78335 78336 78338 78341 78344 78349 78352 78353 78355 78357 78359 78360 78361 78362 78363 78368 78369 78370 78371 78372 78374 78375 78376 78379 78383 78384 78385 78387 78389 78390 78391 78501 78502 78503 78504 78505 78516 78520 78521 78522 78523 78526 78535 78536 78537 78538 78539 78540 78541 78542 78543 78545 78547 78548 78550 78551 78552 78553 78557 78559 78560 78561 78562 78563 78564 78566 78569 78570 78572 78573 78574 78575 78576 78577 78578 78579 78580 78582 78583 78584 78586 78588 78589 78591 78593 78595 78596 78597 78598 78599,TDHCA Master List of Community Affairs Subrecipients,community-action-corporation-of-south-texas-ceap,,waitlist,,,,,online,8AM - 5PM CST,,No documents are required at the time of registration.,,,Belinda,reached,"Applications are currently available through a waitlist only. The agent offered to send the registration link via SMS and requested a phone number to send the link. No documents are required during registration.

The agent also mentioned that there is currently a high number of applicants on the waitlist, and assistance will be provided only while funding remains available.",2026-09-04,Karlo,,,
WEEK 1,63,"Combined Community Action, Inc.",Giddings,,+19795402980,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",10,100,"1,670,147",Austin; Bastrop; Blanco; Caldwell; Colorado; Fayette; Fort Bend; Hays; Lee; Wharton,77053 77083 77406 77407 77412 77417 77418 77420 77423 77426 77430 77434 77435 77437 77441 77442 77444 77448 77450 77451 77453 77454 77455 77459 77461 77467 77469 77470 77471 77474 77475 77477 77478 77479 77481 77485 77487 77488 77489 77494 77496 77497 77498 77545 77583 77584 77853 78602 78606 78610 78612 78616 78617 78619 78620 78621 78632 78635 78636 78640 78644 78648 78650 78652 78655 78656 78659 78661 78662 78663 78666 78667 78676 78737 78931 78932 78933 78934 78935 78938 78940 78941 78942 78943 78944 78945 78946 78947 78948 78949 78950 78951 78952 78953 78954 78956 78957 78959 78962 78963,TDHCA Master List of Community Affairs Subrecipients,combined-community-action-inc-ceap,,unknown,,,,,,,,,,,,reached,Called regarding Utility Assistance and confirmed that the program serves residents of Wharton County.,2026-09-04,Karlo,,,
WEEK 1,64,City of Austin Health and Human Services Department,Austin,,+15129725000,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",1,74,"1,642,866",Travis,78610 78613 78615 78617 78620 78621 78641 78645 78652 78653 78660 78664 78669 78691 78701 78702 78703 78704 78705 78708 78709 78711 78714 78715 78716 78718 78719 78720 78721 78722 78723 78724 78725 78726 78727 78728 78729 78730 78731 78732 78733 78734 78735 78736 78737 78738 78739 78741 78742 78744 78745 78746 78747 78748 78749 78750 78751 78752 78753 78754 78755 78756 78757 78758 78759 78760 78761 78762 78763 78764 78765 78766 78767 78768,TDHCA Master List of Community Affairs Subrecipients,city-of-austin-health-and-human-services-department-ceap,,unknown,,,,,,,,,,,,reached,"Spoke with the agent, who transferred the call to Utility Assistance. The operator advised that they could not find an account associated with the phone number used for the call. The call was then disconnected before further assistance could be provided.",2026-09-04,Karlo,,,
WEEK 1,65,Travis County Health & Human Services/Veterans Services,Austin,,+15128547250,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",1,74,"1,642,866",Travis,78610 78613 78615 78617 78620 78621 78641 78645 78652 78653 78660 78664 78669 78691 78701 78702 78703 78704 78705 78708 78709 78711 78714 78715 78716 78718 78719 78720 78721 78722 78723 78724 78725 78726 78727 78728 78729 78730 78731 78732 78733 78734 78735 78736 78737 78738 78739 78741 78742 78744 78745 78746 78747 78748 78749 78750 78751 78752 78753 78754 78755 78756 78757 78758 78759 78760 78761 78762 78763 78764 78765 78766 78767 78768,TDHCA Master List of Community Affairs Subrecipients,travis-county-health-human-services-veterans-services-ceap,,unknown,,,,,,,,,,,,no_answer,The automated recording confirmed that they currently only accept applications for Home Repair Assistance. Utility or other forms of assistance are not currently being accepted.,2026-09-04,Karlo,,,
,66,"Hill Country Community Action Association, Inc.",San Saba,,+13253725167,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",13,110,"1,373,509",Bell; Burnet; Coryell; Erath; Hamilton; Lampasas; Llano; Mason; Milam; Mills; San Saba; Somervell; Williamson,76043 76070 76077 76401 76433 76436 76445 76446 76453 76457 76462 76463 76465 76501 76502 76503 76504 76511 76513 76518 76519 76520 76522 76525 76527 76528 76530 76531 76533 76534 76537 76538 76539 76540 76541 76542 76543 76544 76547 76548 76549 76550 76554 76556 76557 76559 76561 76565 76566 76567 76569 76571 76573 76574 76577 76578 76579 76649 76689 76690 76820 76824 76831 76832 76842 76844 76853 76856 76864 76869 76870 76871 76872 76877 76885 76890 77857 78605 78607 78608 78609 78611 78613 78615 78621 78626 78627 78628 78630 78633 78634 78639 78641 78642 78643 78646 78654 78657 78664 78665 78669 78672 78674 78680 78681 78683 78717 78728 78729 78750,TDHCA Master List of Community Affairs Subrecipients,hill-country-community-action-association-inc-ceap,,accepting,,,,,walk_in,,,"Requirements:

Birth Certificate
Valid ID and Social Security information for everyone in the household
Latest Utility Bill
Proof of Income","Disqualifier:

Household income exceeds the program's income limit",,Rebecca,reached,"Application Process:

Visit the Central Office in person to pick up the application form.",2026-09-04,Karlo,,,
,67,Brazos Valley Community Action Programs,Bryan,,+19795952800,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",12,91,"1,354,836",Brazos; Burleson; Chambers; Grimes; Leon; Liberty; Madison; Montgomery; Robertson; Walker; Waller; Washington,75831 75833 75846 75850 75852 75855 76629 76687 77301 77302 77303 77304 77305 77306 77316 77318 77320 77327 77328 77339 77340 77342 77353 77354 77355 77356 77357 77358 77362 77363 77365 77372 77378 77380 77381 77382 77384 77385 77386 77387 77393 77423 77426 77445 77446 77447 77484 77493 77514 77523 77533 77535 77538 77560 77564 77575 77580 77597 77665 77801 77802 77803 77805 77806 77807 77808 77830 77831 77833 77834 77835 77836 77837 77840 77841 77842 77845 77856 77859 77861 77864 77865 77868 77871 77872 77873 77879 77880 77881 78932 78946,TDHCA Master List of Community Affairs Subrecipients,brazos-valley-community-action-programs-ceap,,accepting,,,,,online,,,,,,Anna,reached,"The agent confirmed that they are currently accepting applications, but the entire application process must be completed online through capbv.org.",2026-09-04,Karlo,,,
,68,"Community Council of South Central Texas, Inc.",Seguin,,+18303034376,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",30,145,"1,022,973",Atascosa; Bandera; Brewster; Comal; Crane; Culberson; Dimmit; Edwards; Frio; Gillespie; Guadalupe; Hudspeth; Jeff Davis; Karnes; Kendall; Kerr; Kinney; La Salle; Live Oak; Maverick; McMullen; Medina; Pecos; Presidio; Real; Terrell; Uvalde; Val Verde; Wilson; Zavala,78001 78003 78004 78005 78006 78007 78008 78009 78010 78011 78012 78013 78014 78015 78016 78017 78019 78021 78022 78024 78025 78026 78027 78028 78029 78039 78050 78052 78055 78056 78057 78058 78059 78060 78061 78062 78063 78064 78065 78066 78069 78070 78071 78072 78073 78074 78075 78101 78108 78111 78113 78114 78115 78116 78117 78118 78119 78121 78123 78124 78130 78131 78132 78133 78140 78141 78147 78151 78154 78155 78156 78160 78161 78163 78253 78264 78266 78350 78368 78383 78618 78623 78624 78631 78638 78648 78655 78670 78671 78675 78801 78802 78827 78828 78829 78830 78832 78833 78834 78836 78837 78838 78839 78840 78841 78842 78850 78851 78852 78853 78860 78861 78870 78871 78872 78873 78877 78879 78880 78881 78883 78884 78885 78886 79730 79731 79734 79735 79740 79743 79744 79781 79830 79837 79839 79842 79843 79845 79846 79847 79848 79851 79852 79854 79855,TDHCA Master List of Community Affairs Subrecipients,community-council-of-south-central-texas-inc-ceap,,unknown,,,,,,,,,,,,voicemail,"The automated recording advised that Utility and Rental Assistance information is available through ccscity.org. The website provides details on program availability and other relevant assistance information, which applicants can review online.",2026-09-04,Karlo,,,
,69,Catholic Charities — Mamie George Community Center,Richmond,1111 Collins Road,+12812026200,Assistance services,rent_assistance,1,0,"958,434",Fort Bend,,Catholic Charities Archdiocese of Galveston-Houston — Locations,catholic-charities-mamie-george-community-center,,accepting,,,,,online,,,"The requirements were not disclosed, as the representative was also unsure of the specific requirements.",,,Yolanda,reached,"Applicants are advised to apply online for Utility and Housing Assistance through catholiccharities.org/housing. Once the application is submitted, a case manager will contact the member to gather additional information and discuss the next steps.

The specific requirements were not disclosed, as the representative was not familiar with the requirements.",2026-09-04,Karlo,,,
,70,Catholic Charities — San Jose Clinic Rosenberg,Rosenberg,1615 Avenue E,+17138746590,Assistance services,"free_clinic, prescriptions",1,0,"958,434",Fort Bend,,Catholic Charities Archdiocese of Galveston-Houston — Locations,catholic-charities-san-jose-clinic-rosenberg,,unknown,,,,,online,,,,,,Monica,wrong_number,"The number provided appears to be for therapy and counseling services, not Utility Assistance. For Utility and Housing Assistance, applicants are advised to apply online through catholiccharities.org/housing.",2026-09-04,Karlo,,,
,71,Economic Opportunities Advancement Corporation,Waco,,+12547530331,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",9,111,"945,408",Bosque; Ellis; Falls; Freestone; Hill; Johnson; Limestone; McLennan; Navarro,75102 75105 75109 75110 75119 75125 75144 75151 75152 75153 75154 75155 75165 75167 75168 75831 75838 75840 75846 75848 75855 75859 75860 76009 76028 76031 76033 76036 76041 76044 76050 76055 76058 76059 76061 76063 76064 76065 76084 76093 76097 76457 76524 76557 76570 76621 76622 76624 76626 76627 76628 76629 76630 76631 76632 76633 76634 76635 76636 76637 76638 76639 76640 76641 76642 76643 76645 76648 76649 76651 76652 76653 76655 76656 76657 76660 76661 76664 76665 76666 76667 76670 76671 76673 76676 76678 76679 76680 76681 76682 76685 76687 76689 76690 76691 76692 76693 76701 76702 76703 76704 76705 76706 76707 76708 76710 76711 76712 76714 76716 76798,TDHCA Master List of Community Affairs Subrecipients,economic-opportunities-advancement-corporation-ceap,,accepting,,,,,online,8AM - 5PM CST,,,,,Shiela's VM,voicemail,"The automated recording confirmed that they are currently accepting Utility Assistance applications. However, the call was routed to voicemail, prompting me to leave my name and phone number for further assistance.",2026-09-04,Karlo,,,
WEEK 1,72,Hidalgo County Community Services Agency,Edinburg,,+19563836240,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",1,28,"869,184",Hidalgo,78501 78502 78503 78504 78505 78516 78537 78538 78539 78540 78541 78542 78543 78557 78560 78562 78563 78570 78572 78573 78574 78576 78577 78579 78589 78595 78596 78599,TDHCA Master List of Community Affairs Subrecipients,hidalgo-county-community-services-agency-ceap,,accepting,,,,,walk_in,8AM - 5PM CST,"Allocation:

10-day disconnection notice: Every Friday
5-day disconnection notice: Monday through Thursday","Requirements:

Notice of Disconnection
Birth Certificate
Residence Card
Certificate of Citizenship
State ID for anyone in the household 18 years or older",,,Dante,reached,,2026-09-02,Karlo,,,
,73,Rolling Plains Management Corporation,Crowell,,+19406841571,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",28,149,"868,903",Archer; Baylor; Brown; Callahan; Clay; Comanche; Cottle; Eastland; Foard; Hardeman; Haskell; Hood; Jack; Jones; Kent; Knox; Montague; Palo Pinto; Parker; Shackelford; Stephens; Stonewall; Taylor; Throckmorton; Wichita; Wilbarger; Wise; Young,76008 76020 76023 76035 76048 76049 76066 76067 76071 76073 76078 76082 76085 76086 76087 76088 76098 76108 76225 76228 76230 76234 76239 76251 76255 76261 76265 76270 76301 76302 76305 76306 76307 76308 76309 76310 76311 76351 76354 76357 76360 76363 76364 76365 76366 76367 76370 76371 76372 76373 76374 76377 76379 76380 76384 76388 76389 76424 76426 76427 76429 76430 76431 76432 76433 76435 76436 76437 76442 76443 76444 76445 76446 76448 76449 76450 76453 76454 76455 76458 76459 76460 76462 76463 76464 76468 76470 76471 76472 76474 76475 76476 76481 76483 76484 76486 76487 76490 76491 76801 76802 76803 76804 76823 76827 76857 76890 79225 79227 79247 79248 79252 79501 79502 79503 79504 79505 79508 79510 79518 79519 79520 79521 79525 79528 79529 79530 79533 79536 79539 79540 79541 79544 79547 79548 79553 79560 79561 79562 79563 79566 79601 79602 79603 79604 79605 79606 79607 79608,TDHCA Master List of Community Affairs Subrecipients,rolling-plains-management-corporation-ceap,,accepting,,,,,phone,8 AM to 5 PM. ,,"Requirements:

Birth Certificate
Passport
Proof of Citizenship
Utility Bills from the last 3 months
Income Information",Eligibility depends on the evaluation of the submitted requirements.,,Maria,reached,Maria requested my name and phone number so that someone could call me back to complete the intake process. No intake was completed during the initial call.,2026-09-02,Karlo,,,
WEEK 1,74,"El Paso Community Action, Project BRAVO",El Paso,,+19155624100,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",1,56,"865,537",El Paso,79821 79835 79836 79838 79849 79853 79901 79902 79903 79904 79905 79906 79907 79908 79911 79912 79913 79914 79915 79916 79917 79922 79923 79924 79925 79926 79927 79928 79929 79930 79931 79932 79934 79935 79936 79937 79938 79940 79941 79942 79943 79944 79945 79946 79947 79948 79949 79950 79951 79952 79953 79954 79955 79995 79996 79997,TDHCA Master List of Community Affairs Subrecipients,el-paso-community-action-project-bravo-ceap,,seasonal_closed,,,,,,,,,,,,reached,The automated recording confirmed that applications are currently closed.,2026-09-02,Karlo,,,
,75,75,Georgetown,,+15127631400,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",2,37,"793,830",Burnet; Williamson,76511 76527 76530 76537 76550 76573 76574 76578 78605 78608 78611 78613 78615 78621 78626 78627 78628 78630 78633 78634 78639 78641 78642 78646 78654 78657 78664 78665 78669 78674 78680 78681 78683 78717 78728 78729 78750,TDHCA Master List of Community Affairs Subrecipients,williamson-burnet-county-opportunities-inc-ceap,,unknown,,,,,,,,,,,,reached,"The call was answered by an agent but subsequently routed to voicemail, preventing further assistance or information from being obtained.",2026-09-02,Karlo,,,
,76,76,Victoria,,+18006950314,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",15,111,"770,504",Aransas; Bee; Brazoria; Calhoun; DeWitt; Goliad; Gonzales; Jackson; Lavaca; Live Oak; Matagorda; McMullen; Refugio; Victoria; Wharton,77404 77414 77419 77420 77422 77428 77430 77434 77435 77437 77444 77448 77453 77454 77455 77457 77458 77465 77467 77468 77480 77482 77486 77488 77511 77512 77515 77516 77531 77534 77541 77542 77566 77577 77578 77581 77583 77584 77588 77901 77902 77903 77904 77905 77950 77951 77954 77957 77960 77961 77962 77963 77964 77967 77968 77969 77970 77971 77974 77975 77976 77977 77978 77979 77982 77983 77984 77986 77988 77990 77991 77994 77995 78007 78008 78022 78060 78071 78072 78075 78102 78104 78107 78119 78122 78125 78140 78141 78142 78146 78159 78162 78164 78336 78340 78350 78358 78368 78377 78381 78382 78383 78389 78391 78393 78614 78629 78632 78677 78956 78959,TDHCA Master List of Community Affairs Subrecipients,crossroads-community-action-ceap,,unknown,,,,,,,,,,,,voicemail,"As per the IVR, updates may take up to 4 weeks after the application is submitted. The call continued to ring with no answer, despite being placed within the stated service hours.",2026-09-02,Karlo,,,
,77,77,Conroe,304 Avenue E,(713) 752-0677,Assistance services,rent_assistance,1,0,"749,613",Montgomery,,The Salvation Army Houston Area Command — Community Centers,the-salvation-army-conroe-community-center,,accepting,,,There are funds for everyone in houston,,online,,0,"1. US Citizen
2. Eviction Notice
3. Proof of Citizenship
4. Banking Statements",If you dont have any of those documents,,Tanya,reached,Application is through online. SAHELP.org,2026-09-02,Karlo,The whoel of houston,,not_applicable
,78,Texas Neighborhood Services,Weatherford,,+18175985700,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",7,60,"734,252",Erath; Hood; Johnson; Palo Pinto; Parker; Somervell; Wise,76008 76009 76020 76023 76028 76031 76033 76035 76036 76043 76044 76048 76049 76050 76058 76059 76061 76063 76066 76067 76070 76071 76073 76077 76078 76082 76084 76085 76086 76087 76088 76093 76097 76098 76108 76225 76234 76270 76401 76426 76429 76431 76433 76445 76446 76449 76453 76457 76462 76463 76465 76472 76475 76476 76484 76486 76487 76490 76649 76690,TDHCA Master List of Community Affairs Subrecipients,texas-neighborhood-services-ceap,,waitlist,,,,,online,,,,,,Melinda,reached,"The program is currently closed, but customers can still apply for assistance through the website. Applications will be reviewed, and qualified applicants will be contacted regarding the next steps. Water and rental assistance are not covered under this program. ",2026-09-02,Karlo,,,
,79,"West Texas Opportunities, Inc.",Lamesa,,+18068728354,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",18,69,"510,349",Andrews; Borden; Dawson; Ector; Fisher; Gaines; Glasscock; Howard; Loving; Martin; Midland; Mitchell; Nolan; Reeves; Scurry; Upton; Ward; Winkler,79331 79342 79351 79359 79360 79377 79506 79511 79512 79517 79526 79527 79532 79534 79535 79537 79543 79545 79546 79549 79556 79560 79561 79565 79701 79702 79703 79704 79705 79706 79707 79708 79710 79712 79713 79714 79718 79719 79720 79733 79738 79739 79741 79742 79745 79748 79749 79752 79755 79756 79758 79759 79760 79761 79762 79763 79764 79765 79766 79768 79769 79770 79772 79777 79778 79782 79783 79785 79789,TDHCA Master List of Community Affairs Subrecipients,west-texas-opportunities-inc-ceap,,unknown,,,,,online,,,,,,,voicemail,"The operator answered briefly but routed the call to voicemail, preventing further assistance or confirmation from being provided.",,,,,
,80,Panhandle Community Services,Amarillo,,+18063722531,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",26,96,"439,754",Armstrong; Briscoe; Carson; Castro; Childress; Collingsworth; Dallam; Deaf Smith; Donley; Gray; Hall; Hansford; Hartley; Hemphill; Hutchinson; Lipscomb; Moore; Ochiltree; Oldham; Parmer; Potter; Randall; Roberts; Sherman; Swisher; Wheeler,73960 79001 79002 79003 79005 79007 79008 79009 79010 79011 79012 79013 79014 79015 79018 79019 79022 79024 79027 79029 79033 79034 79035 79036 79039 79040 79042 79043 79044 79045 79046 79051 79052 79056 79057 79058 79059 79061 79062 79063 79065 79066 79068 79070 79078 79079 79080 79081 79083 79084 79085 79086 79087 79088 79091 79092 79093 79094 79095 79096 79097 79098 79101 79102 79103 79104 79105 79106 79107 79108 79109 79110 79111 79114 79116 79117 79118 79119 79120 79121 79124 79159 79201 79226 79230 79237 79239 79240 79245 79251 79255 79257 79259 79261 79325 79347,TDHCA Master List of Community Affairs Subrecipients,panhandle-community-services-ceap,,waitlist,,,,,online,8AM - 5PM CST,,,,,,reached,For people with disability only. For utility assistance the application is done through Panhandlehelp.org After submission it will be reviewed for 30 days. That's the time the results will come through.,2026-09-02,Karlo,,,
,81,"South Plains Community Action Association, Inc.",Levelland,,+18068946104,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",15,80,"430,794",Bailey; Cochran; Crosby; Dickens; Floyd; Garza; Hale; Hockley; King; Lamb; Lubbock; Lynn; Motley; Terry; Yoakum,79031 79032 79041 79043 79064 79072 79073 79082 79220 79221 79229 79234 79235 79236 79241 79243 79244 79248 79250 79255 79256 79258 79311 79312 79313 79314 79316 79322 79323 79324 79326 79329 79330 79336 79339 79343 79344 79345 79346 79347 79350 79351 79353 79355 79356 79357 79358 79359 79363 79364 79366 79367 79370 79371 79372 79373 79376 79381 79382 79401 79403 79404 79407 79408 79409 79410 79411 79412 79413 79414 79415 79416 79423 79424 79452 79453 79464 79490 79493 79499,TDHCA Master List of Community Affairs Subrecipients,south-plains-community-action-association-inc-ceap,,unknown,,,,,,,,,,,,voicemail,"The operator answered the call and forwarded it to Utility Assistance. However, once forwarded, the call was routed to voicemail, prompting me to leave a recorded message.",2026-09-02,Karlo,,,
